CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1375,exponential,TL,31,2493,1746,75633.3750956593,52970.6670345051,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,32,2433,1853,73813.0772594221,56216.8648424616,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,33,2484,1855,75360.3304202237,56277.5414370028,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,34,2615,1005,79334.6473626752,30489.9887569746,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,35,3017,1404,91530.642865465,42594.9693679526,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,36,1035,1955,31400.1376750932,59311.371164065,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,37,1320,899,40046.5523972204,27274.1292462887,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,38,1568,507,47570.4501203345,15381.5167162051,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,39,1991,2143,60403.5498658074,65014.9710509418,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,40,2238,987,67897.1092916509,29943.8994061034,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,41,2666,2235,80881.9005234769,67806.094399839,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,42,1427,2368,43292.7502051768,71841.0879368317,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,43,2301,2472,69808.4220197,74996.2708529763,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,44,2391,2698,72538.868774056,81852.7260361368,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,45,2468,2230,74874.9176638938,67654.4029134859,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,46,2673,2652,81094.2686043712,80457.1643616882,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,47,2861,1500,86797.8684912481,45507.4459059322,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,48,3103,1673,94139.7364307384,50755.9713337497,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,49,1305,2354,39591.477938161,71416.351775043,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,50,1498,1298,45446.769311391,39379.1098572667,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,51,1778,2432,53941.492547165,73782.7389621514,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,52,1802,2347,54669.6116816599,71203.9836941486,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,53,2173,1165,65925.1199690605,35344.116320274,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,54,1257,1917,38135.2396691712,58158.5158677814,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,55,1644,909,49876.1607129017,27577.5122189949,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,56,2783,2552,84431.4813041396,77423.334634626,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,57,2041,624,61920.4647293384,18931.0974968678,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,58,1951,711,59190.0179749825,21570.5293594119,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,59,1901,783,57673.1031114514,23754.8867628966,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,60,2073,804,62891.2902419983,24391.9910055797,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,61,2663,552,80790.885631665,16746.7400933831,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,62,2693,2489,81701.0345497836,75512.0219065769,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,63,1526,1952,46296.2416349684,59220.3562722531,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,64,1793,1707,54396.5670062243,51787.4734409509,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,65,1759,1694,53365.0648990232,51393.0755764328,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,66,2086,1396,63285.6881065164,42352.2629897876,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,67,1538,1357,46660.3012022158,41169.0693962333,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,68,1333,1555,40440.9502617384,47176.0522558164,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,69,1265,1594,38377.9460473362,48359.2458493706,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,70,1226,1756,37194.7524537819,53274.0500072113,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,71,2732,2558,82884.2281433379,77605.3644182497,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,72,1628,944,49390.7479565718,28639.3526234667,0,0,30.3382972706215,4,0.5
CI1375,exponential,TL,73,1344,2363,40774.6715317153,71689.3964504786,NaN,NaN,30.3382972706215,4,0.5
CI1375,exponential,TL,1,1712,1794,51939.164927304,54426.9053034949,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,2,1831,1829,55549.4223025079,55488.7457079667,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,3,1775,1875,53850.4776553531,56884.3073824153,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,4,1540,1923,46720.9777967571,58340.5456514051,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,5,1433,1928,43474.7799888006,58492.2371377582,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,6,1919,1721,58219.1924623226,52212.2096027396,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,7,1415,1746,42928.6906379294,52970.6670345051,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,8,1599,2008,48510.9373357237,60919.3009194079,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,9,2381,1201,72235.4858013497,36436.2950220164,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,10,1558,1718,47267.0671476283,52121.1947109277,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,11,2409,1534,73084.9581249271,46538.9480131333,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,12,1522,2197,46174.8884458859,66653.2391035554,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,13,2144,1634,65045.3093482124,49572.7777401955,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,14,2492,1447,75603.0367983887,43899.5161505893,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,15,2464,1679,74753.5644748113,50938.0011173735,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,16,2683,1568,81397.6515770774,47570.4501203345,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,17,1785,2029,54153.8606280593,61556.405162091,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,18,2486,1125,75421.007014765,34130.5844294492,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,19,2700,1419,81913.402630678,43050.0438270119,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,20,2044,1909,62011.4796211503,57915.8094896164,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,21,1797,1968,54517.9201953068,59705.7690285831,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,22,1662,1575,50422.2500637729,47782.8182012288,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,23,1681,2224,50998.6777119147,67472.3731298622,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,24,2600,1455,78879.5729036158,44142.2225287543,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,25,1710,1502,51878.4883327627,45568.1225004735,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,26,1694,1052,51393.0755764328,31915.8887286938,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,27,2245,1644,68109.4773725452,49876.1607129017,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,28,1311,1978,39773.5077217848,60009.1520012893,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,29,2198,1702,66683.577400826,51635.7819545978,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,30,2095,1958,63558.732781952,59402.3860558769,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,31,2493,1746,75633.3750956593,52970.6670345051,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,32,2433,1853,73813.0772594221,56216.8648424616,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,33,2484,1855,75360.3304202237,56277.5414370028,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,34,2615,1005,79334.6473626752,30489.9887569746,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,35,3017,1404,91530.642865465,42594.9693679526,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,36,1035,1955,31400.1376750932,59311.371164065,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,37,1320,899,40046.5523972204,27274.1292462887,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,38,1568,507,47570.4501203345,15381.5167162051,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,39,1991,2143,60403.5498658074,65014.9710509418,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,40,2238,987,67897.1092916509,29943.8994061034,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,41,2666,2235,80881.9005234769,67806.094399839,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,42,1427,2368,43292.7502051768,71841.0879368317,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,43,2301,2472,69808.4220197,74996.2708529763,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,44,2391,2698,72538.868774056,81852.7260361368,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,45,2468,2230,74874.9176638938,67654.4029134859,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,46,2673,2652,81094.2686043712,80457.1643616882,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,47,2861,1500,86797.8684912481,45507.4459059322,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,48,3103,1673,94139.7364307384,50755.9713337497,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,49,1305,2354,39591.477938161,71416.351775043,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,50,1498,1298,45446.769311391,39379.1098572667,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,51,1778,2432,53941.492547165,73782.7389621514,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,52,1802,2347,54669.6116816599,71203.9836941486,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,53,2173,1165,65925.1199690605,35344.116320274,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,54,1257,1917,38135.2396691712,58158.5158677814,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,55,1644,909,49876.1607129017,27577.5122189949,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,56,2783,2552,84431.4813041396,77423.334634626,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,57,2041,624,61920.4647293384,18931.0974968678,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,58,1951,711,59190.0179749825,21570.5293594119,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,59,1901,783,57673.1031114514,23754.8867628966,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,60,2073,804,62891.2902419983,24391.9910055797,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,61,2663,552,80790.885631665,16746.7400933831,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,62,2693,2489,81701.0345497836,75512.0219065769,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,63,1526,1952,46296.2416349684,59220.3562722531,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,64,1793,1707,54396.5670062243,51787.4734409509,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,65,1759,1694,53365.0648990232,51393.0755764328,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,66,2086,1396,63285.6881065164,42352.2629897876,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,67,1538,1357,46660.3012022158,41169.0693962333,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,68,1333,1555,40440.9502617384,47176.0522558164,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,69,1265,1594,38377.9460473362,48359.2458493706,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,70,1226,1756,37194.7524537819,53274.0500072113,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,71,2732,2558,82884.2281433379,77605.3644182497,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,72,1628,944,49390.7479565718,28639.3526234667,0,0,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,73,1344,2363,40774.6715317153,71689.3964504786,NaN,NaN,30.3382972706215,5,0.666666666666667
CI1375,exponential,TL,1,1712,1794,51939.164927304,54426.9053034949,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,2,1831,1829,55549.4223025079,55488.7457079667,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,3,1775,1875,53850.4776553531,56884.3073824153,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,4,1540,1923,46720.9777967571,58340.5456514051,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,5,1433,1928,43474.7799888006,58492.2371377582,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,6,1919,1721,58219.1924623226,52212.2096027396,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,7,1415,1746,42928.6906379294,52970.6670345051,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,8,1599,2008,48510.9373357237,60919.3009194079,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,9,2381,1201,72235.4858013497,36436.2950220164,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,10,1558,1718,47267.0671476283,52121.1947109277,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,11,2409,1534,73084.9581249271,46538.9480131333,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,12,1522,2197,46174.8884458859,66653.2391035554,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,13,2144,1634,65045.3093482124,49572.7777401955,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,14,2492,1447,75603.0367983887,43899.5161505893,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,15,2464,1679,74753.5644748113,50938.0011173735,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,16,2683,1568,81397.6515770774,47570.4501203345,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,17,1785,2029,54153.8606280593,61556.405162091,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,18,2486,1125,75421.007014765,34130.5844294492,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,19,2700,1419,81913.402630678,43050.0438270119,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,20,2044,1909,62011.4796211503,57915.8094896164,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,21,1797,1968,54517.9201953068,59705.7690285831,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,22,1662,1575,50422.2500637729,47782.8182012288,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,23,1681,2224,50998.6777119147,67472.3731298622,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,24,2600,1455,78879.5729036158,44142.2225287543,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,25,1710,1502,51878.4883327627,45568.1225004735,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,26,1694,1052,51393.0755764328,31915.8887286938,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,27,2245,1644,68109.4773725452,49876.1607129017,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,28,1311,1978,39773.5077217848,60009.1520012893,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,29,2198,1702,66683.577400826,51635.7819545978,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,30,2095,1958,63558.732781952,59402.3860558769,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,31,2493,1746,75633.3750956593,52970.6670345051,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,32,2433,1853,73813.0772594221,56216.8648424616,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,33,2484,1855,75360.3304202237,56277.5414370028,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,34,2615,1005,79334.6473626752,30489.9887569746,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,35,3017,1404,91530.642865465,42594.9693679526,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,36,1035,1955,31400.1376750932,59311.371164065,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,37,1320,899,40046.5523972204,27274.1292462887,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,38,1568,507,47570.4501203345,15381.5167162051,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,39,1991,2143,60403.5498658074,65014.9710509418,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,40,2238,987,67897.1092916509,29943.8994061034,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,41,2666,2235,80881.9005234769,67806.094399839,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,42,1427,2368,43292.7502051768,71841.0879368317,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,43,2301,2472,69808.4220197,74996.2708529763,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,44,2391,2698,72538.868774056,81852.7260361368,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,45,2468,2230,74874.9176638938,67654.4029134859,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,46,2673,2652,81094.2686043712,80457.1643616882,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,47,2861,1500,86797.8684912481,45507.4459059322,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,48,3103,1673,94139.7364307384,50755.9713337497,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,49,1305,2354,39591.477938161,71416.351775043,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,50,1498,1298,45446.769311391,39379.1098572667,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,51,1778,2432,53941.492547165,73782.7389621514,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,52,1802,2347,54669.6116816599,71203.9836941486,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,53,2173,1165,65925.1199690605,35344.116320274,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,54,1257,1917,38135.2396691712,58158.5158677814,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,55,1644,909,49876.1607129017,27577.5122189949,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,56,2783,2552,84431.4813041396,77423.334634626,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,57,2041,624,61920.4647293384,18931.0974968678,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,58,1951,711,59190.0179749825,21570.5293594119,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,59,1901,783,57673.1031114514,23754.8867628966,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,60,2073,804,62891.2902419983,24391.9910055797,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,61,2663,552,80790.885631665,16746.7400933831,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,62,2693,2489,81701.0345497836,75512.0219065769,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,63,1526,1952,46296.2416349684,59220.3562722531,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,64,1793,1707,54396.5670062243,51787.4734409509,0,0,30.3382972706215,6,0.833333333333333
CI1375,exponential,TL,65,1759,1694,53365.0648990232,51393.0755764328,0,0,30.3382972706215,6,0.833333333333333
